물건;object;un objet
돈;money;de l'argent
칠반;blackboard;un tableau noir
분필;chalk;une craie
이어폰;earphones;des écouteurs
문;door;une porte
창문;window;une fenêtre
시계;a clock, a watch;une horloge, une montre
에어컨;air conditioner (AC);la climatisation
벽;wall;le mur
볼펜;pen;un stylo
연필;pencil;un crayon
지갑;wallet, purse;un porte-monnaie
양말;socks;des chaussettes
우산;umbrella;un parapluie
귀걸이;earrings;des boucles d’oreilles
사탕;candy;des bonbons
노트북;laptop;un PC portable
공책;notebook;un cahier
바지;pants;un pantalon
목걸이;necklace;un collier
휴지;toilet paper;du papier toilette
반지;a ring;une bague
비누;soap;du savon
거울;mirror;un miroir
빗;comb;un peigne
냉장고;fridge;un frigo
신발;shoes;des chaussures
운동화;sneakers;des baskets
구두;dress shoes;des chaussures de ville
부츠;boots;des bottes
전화;a phone (mobile or landline);un téléphone (fixe ou portable)
핸드폰;a mobile phone;un téléphone portable
치약;toothpaste;du dentifrice
숟가락;spoon;une cuillère
칫솔;toothbrush;une brosse à dent
전등;light / light bulb;une lampe / la lumière
모자;hat;un chapeau
가방;bag;un sac
자;ruler;une règle
안경;glasses;des lunettes
지우개;eraser;une gomme
사전;dictionary;un dictionnaire
복사기;copier, copy machine;une photocopieuse
책상;desk;un bureau (meuble)
교탁;the teacher’s desk;le bureau du professeur
책;book;un livre
가위;scissors;des ciseaux
젓가락;chopsticks;des baguettes
스카치테이프;sticky tape, Scotch tape;du ruban adhésif / du scotch
치마;skirt;une jupe
풀;glue;de la colle
칼;knife, box cutter;un couteau, un cutter
필통;pencil case;une trousse
과자;snack;des biscuits
여권;passport;un passeport
열쇠;key;une clef
버스;bus;un bus
자동차;a car;une voiture
물;water;de l’eau
차;tea;du thé
녹차;green tea;un thé vert
레몬차;lemon tea;un thé citron
맥주;beer;de la bière
오렌지 주스;orange juice;du jus d’orange
종이;paper;du papier
사진;picture, photo;une photo
봉투;enveloppe;une enveloppe
샤프;mechanical pencil;un critérium
수건;towel;une serviette
교통가드;transportation card;une carte de transport
초콜릿;chocolate;du chocolat
우유;milk;du lait
의자;chair;une chaise
빵;bread;du pain
텔레비전;television;la télévision
컵;a cup;une tasse, un mug
커피;coffee;du café
컴퓨터;computer;un ordinateur
라디오;radio;une radio
표;ticket;un ticket
침대;bed;un lit
사과;apple;une pomme
비자;a visa;un visa
선물;gift;un cadeau
신문;newspaper;un journal
옷;clothes;vêtements
술;alcohol;de l'alcool
음식;meal;un plat
과일;fruit;un fruit
편지;letter;une lettre
상자;box;une boîte
약;medicine;un médicament
탁자;table;une table
나무;tree;un arbre
화분;flower pot;un pot de fleur
꽃병;a vase;un vase
바구니;a basket;un panier
소파;sofa;un canapé
커튼;curtains;des rideaux
그림;painting, drawing;un tableau, une peinture, un dessin
쓰레기통;a trash can;une poubelle
옷장;wardrobe;une armoire à vêtements
서랍;a drawer;un tiroir
서랍장;a dresser;une commode
스피커;speakers;des enceintes
와인잔;wine glass;un verre de vin
잡지;magazine;un magazine
꽃;flower;une fleur
옷걸이;clothes hanger;un portemanteau
쿠션;cushion, pillow (on sofa);un coussin
바닥;the floor;le sol
자전거;bicycle;un vélo
스카프;scarf;une écharpe
딸기;strawberry;une fraise
포도;grape;du raisin
티셔츠;t-shirt;un t-shirt
마스크;mask;un masque
장갑;glove;des gants
